timestamp,close
2025-03-23 01:47:54,84144.25
2025-03-23 01:47:59,84144.26
2025-03-23 01:48:04,84144.25
2025-03-23 01:48:10,84144.25
2025-03-23 01:48:15,84144.26
2025-03-23 01:48:21,84144.26
2025-03-23 01:48:26,84144.26
2025-03-23 01:48:32,84144.25
2025-03-23 01:48:37,84144.26
2025-03-23 01:48:42,84144.25
2025-03-23 01:48:48,84144.26
2025-03-23 01:48:53,84144.25
2025-03-23 01:48:59,84144.25
2025-03-23 01:49:04,84144.26
2025-03-23 01:49:10,84144.26
2025-03-23 01:49:15,84144.26
2025-03-23 01:49:21,84144.25
2025-03-23 01:49:26,84144.26
2025-03-23 01:49:32,84144.26
2025-03-23 01:49:37,84144.25
2025-03-23 01:49:43,84144.25
2025-03-23 01:49:48,84144.26
2025-03-23 01:49:54,84144.25
2025-03-23 01:49:59,84144.26
2025-03-23 01:50:05,84144.26
2025-03-23 01:50:10,84144.25
2025-03-23 01:50:16,84144.25
2025-03-23 01:50:21,84144.25
2025-03-23 01:50:26,84144.26
2025-03-23 01:50:32,84144.26
2025-03-23 01:50:37,84144.26
2025-03-23 01:50:43,84144.25
2025-03-23 01:50:48,84144.26
2025-03-23 01:50:54,84144.25
2025-03-23 01:50:59,84144.25
2025-03-23 01:51:05,84144.25
2025-03-23 01:51:10,84144.26
2025-03-23 01:51:16,84144.25
2025-03-23 01:51:21,84144.26
2025-03-23 01:51:27,84144.25
2025-03-23 01:51:32,84144.25
2025-03-23 01:51:38,84144.26
2025-03-23 01:51:43,84144.25
2025-03-23 01:51:49,84144.25
2025-03-23 01:51:54,84144.26
2025-03-23 01:51:59,84144.26
2025-03-23 01:52:05,84144.25
2025-03-23 01:52:10,84144.26
2025-03-23 01:52:16,84144.25
2025-03-23 01:52:23,84144.26
2025-03-23 01:52:28,84144.25
2025-03-23 01:52:34,84144.26
2025-03-23 01:52:39,84144.25
2025-03-23 01:52:44,84144.26
2025-03-23 01:52:50,84144.25
2025-03-23 01:52:55,84144.26
